Image,Region,L,a,b,RGB_R,RGB_G,RGB_B,HEX,Description
52.png,eyeshadow,134.77,140.15,139.80,152,118,107,#98766b,밝은 무채색
53.jpg,lips,142.25,162.02,143.32,195,109,109,#c36d6d,밝은 빨강
53.jpg,cheeks,172.63,139.06,140.39,192,157,143,#c09d8f,밝은 무채색
53.jpg,eyeshadow,178.80,139.92,141.28,199,163,148,#c7a394,밝은 무채색
54.png,lips,121.45,149.00,127.98,146,100,115,#926473,밝은 중성
54.png,cheeks,163.08,134.26,129.00,167,151,153,#a79799,밝은 무채색
54.png,eyeshadow,136.74,132.16,129.99,135,125,126,#877d7e,밝은 무채색
6.jpg,lips,131.25,156.90,142.77,174,103,100,#ae6764,밝은 빨강
6.jpg,cheeks,168.16,141.06,141.96,191,151,137,#bf9789,밝은 무채색
6.jpg,eyeshadow,130.55,137.07,145.52,146,115,93,#92735d,밝은 중성
7.jpg,lips,168.06,155.95,151.35,218,141,120,#da8d78,밝은 빨강
7.jpg,cheeks,182.36,138.59,149.20,206,167,137,#cea789,매우 밝은 중성
7.jpg,eyeshadow,151.83,136.70,145.13,167,137,113,#a78971,밝은 중성
8.jpg,lips,107.69,154.28,136.06,142,82,87,#8e5257,중간 중성
8.jpg,cheeks,183.67,138.73,133.79,198,169,167,#c6a9a7,매우 밝은 무채색
8.jpg,eyeshadow,143.54,139.99,134.43,157,128,124,#9d807c,밝은 무채색
9.jpg,lips,117.52,163.35,145.45,169,83,82,#a95352,중간 빨강
9.jpg,cheeks,192.99,141.92,142.10,219,176,160,#dbb0a0,매우 밝은 무채색
9.jpg,eyeshadow,186.37,142.92,143.53,214,169,152,#d6a998,매우 밝은 중성
