brand,product_name,category,shade_name,price,finish,image_url,swatch_url,color_hex,lab_L,lab_a,lab_b
삐아,레디 투 웨어 다우니 치크,cheek,10 다우니초코,"9,000원",크림,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/3/407996787629227070.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/3/407996787629227070.jpg,#c89892,67.06,17.42,9.99
삐아,레디 투 웨어 다우니 치크,cheek,11 다우니페탈,"9,000원",크림,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/7915190507835915569.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/7915190507835915569.jpg,#edafa6,76.94,21.29,13.51
어퓨,과즙팡 젤리 블러셔,cheek,네마음갖구아바,"10,000원",젤리,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/4/6340852362514777251.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/4/6340852362514777251.jpg,#be8b86,62.55,18.72,10.13
어퓨,과즙팡 젤리 블러셔,cheek,무정한무화과,"10,000원",젤리,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/4/3635572678407164662.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/4/3635572678407164662.jpg,#a37870,54.34,16.04,10.64
어퓨,과즙팡 젤리 블러셔,cheek,자꾸자두말리지마,"10,000원",젤리,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/4/1520554506858414298.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/4/1520554506858414298.jpg,#a3787f,54.85,17.99,2.75
어퓨,과즙팡 젤리 블러셔,cheek,싱숭생숭복숭아,"10,000원",젤리,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/4/4153442414427644884.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/4/4153442414427644884.jpg,#c48d86,63.88,19.92,12.29
어퓨,과즙팡 젤리 블러셔,cheek,외로워도슬포도,"10,000원",젤리,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/4/4224620528738453455.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/4/4224620528738453455.jpg,#c38d9e,64.24,22.9,-0.94
어퓨,과즙팡 젤리 블러셔,cheek,이제그만사과해,"10,000원",젤리,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/4/721176024627286436.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/4/721176024627286436.jpg,#a2686d,50.39,23.77,7.09
얼터너티브스테레오,바미 크림 치크,cheek,10호 피치 크림,"15,000원",크림,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/1/3072804440522494201.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/1/3072804440522494201.jpg,#f1b39f,78.15,19.86,19.11
얼터너티브스테레오,바미 크림 치크,cheek,8호 스윗 라일락,"15,000원",크림,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/1/3306772931163037113.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/1/3306772931163037113.jpg,#f0a8d4,76.79,33.15,-11.93
얼터너티브스테레오,바미 크림 치크,cheek,1호 베이비 로즈,"15,000원",크림,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/10/3907407821764325838.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/10/3907407821764325838.jpg,#e69494,69.62,30.73,12.96
얼터너티브스테레오,바미 크림 치크,cheek,3호 밀키 피치,"15,000원",크림,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/10/6471488050323584083.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/10/6471488050323584083.jpg,#e1857b,65.14,34.33,20.71
