Image,Region,L,a,b,RGB_R,RGB_G,RGB_B,HEX,Description
30.jpg,eyeshadow,130.93,144.62,141.77,155,111,100,#9b6f64,밝은 중성
31.jpg,lips,100.54,157.47,147.65,143,72,63,#8f483f,중간 빨강
31.jpg,cheeks,142.09,146.58,144.93,172,121,107,#ac796b,밝은 중성
31.jpg,eyeshadow,93.73,140.79,138.81,110,78,70,#6e4e46,중간 무채색
32.jpg,lips,150.69,168.15,143.09,212,112,117,#d47075,밝은 빨강
32.jpg,cheeks,181.86,145.58,141.39,212,162,151,#d4a297,매우 밝은 중성
32.jpg,eyeshadow,155.94,138.73,134.01,168,140,136,#a88c88,밝은 무채색
33.jpg,lips,126.70,158.58,136.01,168,97,105,#a86169,밝은 빨강
33.jpg,cheeks,157.96,137.11,136.65,170,143,135,#aa8f87,밝은 무채색
33.jpg,eyeshadow,126.89,137.05,137.25,138,112,103,#8a7067,밝은 무채색
34.jpg,lips,150.11,162.53,138.67,202,117,125,#ca757d,밝은 빨강
34.jpg,cheeks,189.86,138.30,135.84,206,176,170,#ceb0aa,매우 밝은 무채색
34.jpg,eyeshadow,153.41,139.17,135.58,169,138,133,#a98a85,밝은 무채색
35.jpg,lips,97.14,167.86,140.91,150,59,72,#963b48,중간 빨강
35.jpg,cheeks,169.16,140.58,139.22,190,153,142,#be998e,밝은 무채색
35.jpg,eyeshadow,131.07,138.49,137.36,145,116,107,#91746b,밝은 무채색
36.jpg,lips,135.53,166.76,144.14,193,98,101,#c16265,밝은 빨강
36.jpg,cheeks,196.72,140.47,141.22,221,181,166,#ddb5a6,매우 밝은 무채색
36.jpg,eyeshadow,108.34,137.65,137.68,120,94,86,#785e56,중간 무채색
37.jpg,lips,131.32,168.75,147.13,192,92,92,#c05c5c,밝은 빨강
37.jpg,cheeks,195.27,139.65,145.90,220,181,158,#dcb59e,매우 밝은 중성
37.jpg,eyeshadow,133.39,140.61,142.78,153,116,101,#997465,밝은 무채색
38.jpg,lips,131.88,157.56,141.14,175,102,102,#af6666,밝은 빨강
38.jpg,cheeks,183.93,138.52,139.95,202,169,156,#caa99c,매우 밝은 무채색
38.jpg,eyeshadow,131.12,137.54,139.15,144,117,104,#907568,밝은 무채색
39.jpg,lips,90.33,163.01,144.02,138,57,59,#8a393b,중간 빨강
39.jpg,cheeks,182.19,134.73,139.96,194,170,155,#c2aa9b,매우 밝은 무채색
39.jpg,eyeshadow,113.88,138.11,139.98,128,98,87,#806257,중간 무채색
40.jpg,lips,101.79,167.28,144.52,155,63,69,#9b3f45,중간 빨강
40.jpg,cheeks,185.09,143.18,138.71,212,168,160,#d4a8a0,매우 밝은 중성
40.jpg,eyeshadow,139.60,141.82,139.82,159,122,112,#9f7a70,밝은 무채색
41.jpg,lips,169.34,160.77,142.81,222,138,138,#de8a8a,밝은 빨강
41.jpg,cheeks,205.99,144.18,145.85,240,188,169,#f0bca9,매우 밝은 중성
41.jpg,eyeshadow,171.07,144.56,144.03,201,152,135,#c99887,밝은 중성
42.jpg,lips,124.83,162.94,146.54,175,91,87,#af5b57,밝은 빨강
42.jpg,cheeks,178.48,142.21,141.27,204,161,148,#cca194,밝은 무채색
42.jpg,eyeshadow,133.29,141.87,141.10,154,116,103,#9a7467,밝은 무채색
43.jpg,lips,148.34,161.28,147.98,202,116,108,#ca746c,밝은 빨강
43.jpg,cheeks,192.42,143.09,146.68,224,175,153,#e0af99,매우 밝은 중성
43.jpg,eyeshadow,147.88,142.90,144.77,172,129,111,#ac816f,밝은 중성
44.jpg,lips,116.59,172.57,138.83,177,73,93,#b1495d,중간 빨강
44.jpg,cheeks,187.34,139.93,137.90,207,173,164,#cfada4,매우 밝은 무채색
44.jpg,eyeshadow,139.64,141.05,138.04,159,122,114,#9f7a72,밝은 무채색
45.jpg,lips,144.95,165.23,131.40,196,109,132,#c46d84,밝은 빨강
45.jpg,cheeks,204.96,137.12,131.70,218,193,193,#dac1c1,매우 밝은 무채색
45.jpg,eyeshadow,143.94,137.64,134.04,154,129,124,#9a817c,밝은 무채색
46.jpg,lips,109.82,157.83,144.92,152,81,76,#98514c,중간 빨강
46.jpg,cheeks,181.66,137.13,139.61,198,168,154,#c6a89a,매우 밝은 무채색
46.jpg,eyeshadow,142.17,141.39,142.01,164,125,110,#a47d6e,밝은 무채색
47.jpg,lips,140.69,154.14,143.30,181,113,107,#b5716b,밝은 중성
47.jpg,cheeks,193.48,133.55,138.01,203,183,168,#cbb7a8,매우 밝은 무채색
47.jpg,eyeshadow,150.71,137.19,140.89,165,135,121,#a58779,밝은 무채색
48.jpg,lips,99.71,158.73,139.29,140,71,75,#8c474b,중간 빨강
48.jpg,cheeks,172.46,138.07,137.56,188,158,149,#bc9e95,밝은 무채색
48.jpg,eyeshadow,122.17,138.57,137.39,136,107,99,#886b63,밝은 무채색
49.jpg,lips,110.78,156.42,141.60,150,83,82,#965352,중간 빨강
49.jpg,cheeks,179.85,139.06,134.72,196,165,161,#c4a5a1,밝은 무채색
49.jpg,eyeshadow,137.45,141.16,136.69,155,120,115,#9b7873,밝은 무채색
50.jpg,lips,132.65,158.02,138.74,176,103,108,#b0676c,밝은 빨강
50.jpg,cheeks,199.64,137.72,140.93,218,187,171,#dabbab,매우 밝은 무채색
50.jpg,eyeshadow,141.46,139.79,139.68,158,125,114,#9e7d72,밝은 무채색
51.jpg,lips,83.91,167.37,130.33,131,46,75,#832e4b,중간 빨강
51.jpg,cheeks,161.26,141.92,130.62,177,145,150,#b19196,밝은 무채색
51.jpg,eyeshadow,105.96,138.05,132.57,116,91,91,#745b5b,중간 무채색
52.jpg,lips,155.49,163.82,132.31,206,122,141,#ce7a8d,밝은 빨강
52.jpg,cheeks,209.86,136.23,132.32,222,199,197,#dec7c5,매우 밝은 무채색
52.jpg,eyeshadow,157.24,140.65,135.66,174,141,137,#ae8d89,밝은 무채색
53.jpg,lips,125.79,178.26,144.25,197,75,92,#c54b5c,밝은 빨강
53.jpg,cheeks,193.77,146.27,124.32,217,175,194,#d9afc2,매우 밝은 중성
53.jpg,eyeshadow,143.07,152.31,127.24,174,119,137,#ae7789,밝은 중성
54.jpg,lips,143.74,159.72,153.43,195,112,93,#c3705d,밝은 빨강
54.jpg,cheeks,180.55,135.39,141.44,195,168,149,#c3a895,매우 밝은 무채색
54.jpg,eyeshadow,110.26,136.06,146.31,125,96,72,#7d6048,중간 중성
55.jpg,lips,127.18,170.62,153.01,191,86,78,#bf564e,밝은 빨강
55.jpg,cheeks,203.60,134.56,141.43,218,193,173,#dac1ad,매우 밝은 무채색
55.jpg,eyeshadow,146.19,142.44,145.12,171,128,109,#ab806d,밝은 중성
56.jpg,lips,135.20,166.49,148.01,194,98,94,#c2625e,밝은 빨강
56.jpg,cheeks,206.38,138.25,132.58,222,194,193,#dec2c1,매우 밝은 무채색
