brand,product_name,category,shade_name,price,finish,image_url,swatch_url,lab_L,lab_a,lab_b
삐아,레디 투 웨어 아이섀도우,eye,07 모태매력,"4,500원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2022/5/8278750439997010767.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2022/5/8278750439997010767.jpg,213.35,139.25,139.67
삐아,레디 투 웨어 아이섀도우,eye,08 모태지적,"4,500원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2022/5/6381769081673395878.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2022/5/6381769081673395878.jpg,202.59,139.35,135.94
삐아,레디 투 웨어 아이섀도우,eye,09 모태분위기,"4,500원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2022/5/5306132786358521362.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2022/5/5306132786358521362.jpg,197.49,137.76,135.07
에뛰드,왓츠 인 마이 아이즈 & 더블,eye,01 코랄 밀크,"7,900원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/19803824827969887.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/19803824827969887.jpg,221.84,138.93,135.65
에뛰드,왓츠 인 마이 아이즈 & 더블,eye,03 체리 블라썸,"7,900원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/3255682880956959531.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/3255682880956959531.jpg,213.0,143.5,136.87
에뛰드,왓츠 인 마이 아이즈 & 더블,eye,04 스프링 피크닉,"7,900원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/4218836853492313821.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/4218836853492313821.jpg,206.85,142.0,137.98
에뛰드,왓츠 인 마이 아이즈 & 더블,eye,05 피치 컨페티,"7,900원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/2888997035899611692.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/2888997035899611692.jpg,206.49,141.72,142.62
에뛰드,왓츠 인 마이 아이즈 & 더블,eye,06 페탈 스프링클,"7,900원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/793086307961730094.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/793086307961730094.jpg,217.65,137.3,137.96
에뛰드,왓츠 인 마이 아이즈 & 더블,eye,07 미스틱 블라썸,"7,900원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/6342334527570039471.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/6342334527570039471.jpg,212.53,138.78,131.52
에뛰드,왓츠 인 마이 아이즈 & 더블,eye,08 블루밍 캔디,"7,900원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/4695781413225469811.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/4695781413225469811.jpg,219.31,140.86,130.35
